Reporting Entity,Facility Name,Type,Electricity Production GJ,Greenhouse Gas Emissions Scope 1 t CO2 e,Greenhouse Gas Emissions Scope 2 t CO2 e,Greenhouse Gas Emissions Total Emissions t CO2 e,Important notes
GREEN STATE POWER PTY LTD,Brown Mountain Power Station,F,45017,8,20.0,28,N/A
GREEN STATE POWER PTY LTD,Burrinjuck Power Station,F,147657,12,150.0,162,N/A
GREEN STATE POWER PTY LTD,Crookwell Wind Farm,F,65569,0,31.0,31,N/A
GREEN STATE POWER PTY LTD,Hume Power Station  NSW,F,845172,22,259.0,281,N/A
GREEN STATE POWER PTY LTD,Hume Power Station Victoria,F,37,0,0.0,0,N/A
GREEN STATE POWER PTY LTD,Keepit Power Station,F,23508,6,31.0,37,N/A
GREEN STATE POWER PTY LTD,Corporate Total,C,1192529,55,538.0,593,N/A
HRL LIMITED,Energy Brix Australia Corporation,F,380164,340160,49197.0,389357,N/A
HRL LIMITED,Corporate Total,C,380164,340160,49197.0,389357,N/A
HYDRO POWER PTY. LIMITED,Wyangala A,F,152832,0,0.0,0,N/A
HYDRO POWER PTY. LIMITED,Corporate Total,C,152832,0,0.0,0,N/A
HYDRO-ELECTRIC CORPORATION,Bastyan Hydro Power Station,F,1508095,0,47.0,47,N/A
HYDRO-ELECTRIC CORPORATION,Butlers Gorge Hydro Power Station,F,236041,0,0.0,0,N/A
HYDRO-ELECTRIC CORPORATION,Catagunya Hydro Power Station,F,952308,0,19.0,19,N/A
HYDRO-ELECTRIC CORPORATION,Cethana Hydro Power Station,F,1643976,0,66.0,66,N/A
HYDRO-ELECTRIC CORPORATION,Cluny Hydro Power Station,F,338904,0,7.0,7,N/A
HYDRO-ELECTRIC CORPORATION,Devils Gate Hydro Power Station,F,1149916,0,25.0,25,N/A
HYDRO-ELECTRIC CORPORATION,Fisher Hydro Power Station,F,870593,0,0.0,0,N/A
HYDRO-ELECTRIC CORPORATION,Flinders Island Power Station,F,13841,2551,4.0,2555,N/A
HYDRO-ELECTRIC CORPORATION,Gordon Hydro Power Station,F,9861508,0,35.0,35,N/A
HYDRO-ELECTRIC CORPORATION,John Butters Hydro Power Station,F,2291092,0,134.0,134,N/A
HYDRO-ELECTRIC CORPORATION,King Island Power Station,F,45799,5052,4.0,5056,N/A
HYDRO-ELECTRIC CORPORATION,Lake Echo Hydro Power Station,F,334823,0,13.0,13,N/A
HYDRO-ELECTRIC CORPORATION,Lake Margaret Lower Hydro Power station,F,30703,0,8.0,8,N/A
HYDRO-ELECTRIC CORPORATION,Lake Margaret Upper Hydro Power Station,F,95391,0,50.0,50,N/A
HYDRO-ELECTRIC CORPORATION,Lemonthyme Hydro Power Station,F,1096364,0,48.0,48,N/A
HYDRO-ELECTRIC CORPORATION,Liapootah Hydro Power Station,F,1808849,0,424.0,424,N/A
HYDRO-ELECTRIC CORPORATION,Mackintosh Hydro Power Station,F,1519106,0,72.0,72,N/A
HYDRO-ELECTRIC CORPORATION,Meadowbank Hydro Power Station,F,758921,0,19.0,19,N/A
HYDRO-ELECTRIC CORPORATION,Musselroe Wind Farm,F,514262,34,2.0,36,N/A
HYDRO-ELECTRIC CORPORATION,Parangana Hydro Power Station,F,17208,0,0.0,0,N/A
HYDRO-ELECTRIC CORPORATION,Poatina Hydro Power Station,F,5287998,0,1204.0,1204,N/A
HYDRO-ELECTRIC CORPORATION,Reece Hydro Power Station,F,4086534,0,996.0,996,N/A
HYDRO-ELECTRIC CORPORATION,Repulse Hydro Power Station,F,608916,0,11.0,11,N/A
HYDRO-ELECTRIC CORPORATION,Rowallan Hydro Power Station,F,173457,0,3.0,3,N/A
HYDRO-ELECTRIC CORPORATION,Tamar Valley Power Station,F,3137849,363623,1212.0,364835,N/A
HYDRO-ELECTRIC CORPORATION,Tarraleah Hydro Power Station,F,2072195,0,92.0,92,N/A
HYDRO-ELECTRIC CORPORATION,Tods Corner Hydro Power Station,F,31932,0,2.0,2,N/A
HYDRO-ELECTRIC CORPORATION,Trevallyn Hydro Power Station,F,1930210,0,24.0,24,N/A
HYDRO-ELECTRIC CORPORATION,Tribute Hydro Power Station,F,930969,0,60.0,60,N/A
HYDRO-ELECTRIC CORPORATION,Tungatinah Hydro Power Station,F,2388446,0,188.0,188,N/A
HYDRO-ELECTRIC CORPORATION,Wayatinah Hydro Power Station,F,924087,0,25.0,25,N/A
HYDRO-ELECTRIC CORPORATION,Wilmot Hydro Power Station,F,512972,0,53.0,53,N/A
HYDRO-ELECTRIC CORPORATION,Corporate Total,C,47173265,371260,4847.0,376107,N/A
IFM RENEWABLE ENERGY PTY LTD,Challicum Hills Wind Farm,F,548625,29,0.0,29,N/A
IFM RENEWABLE ENERGY PTY LTD,Clements Gap Wind Farm,F,656001,32,0.0,32,N/A
IFM RENEWABLE ENERGY PTY LTD,Codrington Wind Farm,F,161201,8,0.0,8,N/A
IFM RENEWABLE ENERGY PTY LTD,Eildon Pondage Hydro,F,43452,0,0.0,0,N/A
IFM RENEWABLE ENERGY PTY LTD,Glenmaggie Hydro,F,19645,0,0.0,0,N/A
IFM RENEWABLE ENERGY PTY LTD,Ord Hydro,F,739558,16,0.0,16,N/A
IFM RENEWABLE ENERGY PTY LTD,Portland Wind Farms,F,1279151,153,0.0,153,N/A
IFM RENEWABLE ENERGY PTY LTD,The Drop Hydro,F,22042,0,0.0,0,N/A
IFM RENEWABLE ENERGY PTY LTD,William Hovell Hydro,F,17430,0,0.0,0,N/A
IFM RENEWABLE ENERGY PTY LTD,Yambuk Wind Farm,F,336675,32,0.0,32,N/A
IFM RENEWABLE ENERGY PTY LTD,Corporate Total,C,3823780,270,0.0,270,N/A
INFIGEN ENERGY LIMITED,Alinta Wind Farm,F,1207884,50,594.0,644,N/A
INFIGEN ENERGY LIMITED,Capital East Solar Farm,F,635,1,4.0,5,N/A
INFIGEN ENERGY LIMITED,Capital Wind Farm,F,1375232,68,710.0,778,N/A
INFIGEN ENERGY LIMITED,"Lake Bonney Stage 1,2 & 3 Wind Farm",F,2621451,81,818.0,899,N/A
INFIGEN ENERGY LIMITED,Woodlawn Wind Farm,F,574347,12,278.0,290,N/A
INFIGEN ENERGY LIMITED,Corporate Total,C,5779549,212,2404.0,2616,N/A
IPM (KWINANA) PTY LTD,Kwinana Cogeneration Plant,F,3183234,465705,0.0,465705,N/A
IPM (KWINANA) PTY LTD,Corporate Total,C,3183234,465705,0.0,465705,N/A
IPM AUSTRALIA LIMITED,Loy Yang B Power Station,F,26305337,8252486,3944.0,8256430,N/A
IPM AUSTRALIA LIMITED,Corporate Total,C,26305337,8252486,3944.0,8256430,N/A
LMS ENERGY PTY LTD,Albury Renewable Energy Facility,F,13279,103,0.0,103,N/A
LMS ENERGY PTY LTD,Atlas Renewable Energy Facility,F,17788,277,0.0,277,N/A
LMS ENERGY PTY LTD,Awaba Renewable Energy Facility,F,30019,466,0.0,466,N/A
LMS ENERGY PTY LTD,Ballarat Renewable Energy Facility,F,15167,247,0.0,247,N/A
LMS ENERGY PTY LTD,Bendigo Renewable Energy Facility,F,17194,279,0.0,279,N/A
LMS ENERGY PTY LTD,Birkdale Renewable Energy Facility,F,24040,375,0.0,375,N/A
LMS ENERGY PTY LTD,Darwin Renewable Energy Facility,F,31873,522,0.0,522,N/A
LMS ENERGY PTY LTD,Eastern Creek 2 Renewable Energy Facility,F,233305,3451,0.0,3451,N/A
LMS ENERGY PTY LTD,Hampton Park Renewable Energy Facility,F,245599,3665,0.0,3665,N/A
LMS ENERGY PTY LTD,Ipswich Renewable Energy Facility,F,30807,486,0.0,486,N/A
LMS ENERGY PTY LTD,Mornington Peninsula Renewable Energy Facility,F,19060,302,0.0,302,N/A
LMS ENERGY PTY LTD,Newcastle Renewable Energy Facility,F,66130,999,0.0,999,N/A
LMS ENERGY PTY LTD,Remount Renewable Energy Facility,F,50368,784,0.0,784,N/A
LMS ENERGY PTY LTD,Rochedale Renewable Energy Facility,F,124896,1910,0.0,1910,N/A
LMS ENERGY PTY LTD,Shepparton Renewable Energy Facility,F,17427,286,0.0,286,N/A
LMS ENERGY PTY LTD,South Cardup Renewable Energy Facility,F,97568,1562,0.0,1562,N/A
LMS ENERGY PTY LTD,Swanbank Renewable Energy Facility,F,34269,552,0.0,552,N/A
LMS ENERGY PTY LTD,Tweed Shire Renewable Energy Facility,F,8077,126,0.0,126,N/A
LMS ENERGY PTY LTD,Wollert Renewable Energy Facility,F,182908,2806,0.0,2806,N/A
LMS ENERGY PTY LTD,Wyndham Renewable Energy Facility,F,36126,508,0.0,508,N/A
LMS ENERGY PTY LTD,Wyong Renewable Energy Facility,F,65821,1005,0.0,1005,N/A
LMS ENERGY PTY LTD,Corporate Total,C,1361721,20711,0.0,20711,N/A
MACQUARIE GENERATION,Bayswater Power Station,F,55896840,13391008,11047.0,13402055,N/A
MACQUARIE GENERATION,Hunter Valley Gas Turbines,F,676,324,1080.0,1404,N/A
MACQUARIE GENERATION,Liddell Power Station,F,26516603,6779705,67013.0,6846718,N/A
MACQUARIE GENERATION,Corporate Total,C,82414119,20171037,79140.0,20250177,N/A
MERIDIAN ENERGY AUSTRALIA PTY LIMITED,Mt Mercer Wind farm Pty Ltd,F,361278,2541,120.0,2661,N/A
MERIDIAN ENERGY AUSTRALIA PTY LIMITED,Mt Millar Wind Farm Pty Ltd,F,664081,19,0.0,19,N/A
MERIDIAN ENERGY AUSTRALIA PTY LIMITED,Corporate Total,C,1025359,2560,120.0,2680,N/A
MOMENTUM ENERGY PTY LIMITED,Alfred Hospital Cogeneration Plant,F,43997,10927,429.0,11356,N/A
MOMENTUM ENERGY PTY LIMITED,Dandenong Hospital Cogeneration Plant,F,46051,9091,319.0,9410,N/A
MOMENTUM ENERGY PTY LIMITED,Geelong Hospital Cogeneration Plant,F,43439,9728,441.0,10169,N/A
MOMENTUM ENERGY PTY LIMITED,Royal Melbourne Hospital Cogeneration Plant,F,97683,19464,797.0,20261,N/A
MOMENTUM ENERGY PTY LIMITED,ST. Vincent's Hospital Cogeneration Plant,F,43095,9571,380.0,9951,N/A
MOMENTUM ENERGY PTY LIMITED,Corporate Total,C,274265,58781,2366.0,61147,N/A
MORTONS LANE WIND FARM (HOLDING) PTY LTD,Mortons Lane Windfarm Pty Ltd,F,248185,0,0.0,0,N/A
MORTONS LANE WIND FARM (HOLDING) PTY LTD,Corporate Total,C,248185,0,0.0,0,N/A
NATIONAL POWER AUSTRALIA INVESTMENTS LIMITED,Hazelwood Power Station,F,39914744,15467673,189121.0,15656794,N/A
NATIONAL POWER AUSTRALIA INVESTMENTS LIMITED,Corporate Total,C,39914744,15467673,189121.0,15656794,N/A
NEW GULLEN RANGE WIND FARM (HOLDING) PTY LTD,Gullen Range Wind Farm,F,174940,0,245.0,245,N/A
NEW GULLEN RANGE WIND FARM (HOLDING) PTY LTD,Corporate Total,C,174940,0,245.0,245,N/A
NEWGEN KWINANA HOLDINGS PTY LTD,Kwinana Gas Fired Power Station,F,7189220,807896,1260.0,809156,N/A
NEWGEN KWINANA HOLDINGS PTY LTD,Corporate Total,C,7189220,807896,1260.0,809156,N/A
NRG VICTORIA I PTY LTD,Gladstone Power Station,F,24615379,6586877,46815.0,6633692,N/A
NRG VICTORIA I PTY LTD,Corporate Total,C,24615379,6586877,46815.0,6633692,N/A
ORIGIN ENERGY ELECTRICITY LIMITED,Eraring  Power  Station,F,10807769,2495645,6796.0,2502441,N/A
ORIGIN ENERGY ELECTRICITY LIMITED,Shoalhaven  Scheme,F,5962,0,3045.0,3045,N/A
ORIGIN ENERGY ELECTRICITY LIMITED,Corporate Total,C,10813731,2495645,9841.0,2505486,N/A
ORIGIN ENERGY LIMITED,Australand,F,4214,731,51.0,782,N/A
ORIGIN ENERGY LIMITED,Blackmores,F,4212,777,51.0,828,N/A
ORIGIN ENERGY LIMITED,Blayney,F,3025,4,3.0,7,N/A
ORIGIN ENERGY LIMITED,Bond,F,4932,757,60.0,817,N/A
ORIGIN ENERGY LIMITED,Brown Mountain,F,6767,3,0.0,3,N/A
ORIGIN ENERGY LIMITED,Burrinjuck Power Station,F,5622,0,14.0,14,N/A
ORIGIN ENERGY LIMITED,Chifley Square,F,2889,425,35.0,460,N/A
ORIGIN ENERGY LIMITED,Crookwell Wind Farm,F,1449,1,2.0,3,N/A
ORIGIN ENERGY LIMITED,Cullerin - Operation,F,383854,21,100.0,121,N/A
ORIGIN ENERGY LIMITED,Dandenong,F,15500,2344,116.0,2460,N/A
ORIGIN ENERGY LIMITED,Darling Downs PS - Operation,F,11962125,1372697,10810.0,1383507,N/A
ORIGIN ENERGY LIMITED,Drapac,F,2327,419,38.0,457,N/A
ORIGIN ENERGY LIMITED,Eraring Power Station,F,33481365,8084174,17635.0,8101809,N/A
ORIGIN ENERGY LIMITED,Exhibition Street,F,10486,1589,170.0,1759,N/A
ORIGIN ENERGY LIMITED,Hume Power Station,F,1259,0,75.0,75,N/A
ORIGIN ENERGY LIMITED,Kent Street,F,17974,1512,244.0,1756,N/A
ORIGIN ENERGY LIMITED,La Trobe,F,3213,499,52.0,551,N/A
ORIGIN ENERGY LIMITED,Ladbroke Grove PS,F,832759,118332,448.0,118780,N/A
ORIGIN ENERGY LIMITED,Mirvac,F,20777,3127,267.0,3394,N/A
ORIGIN ENERGY LIMITED,Mortlake Power Station,F,6024418,906212,4909.0,911121,N/A
ORIGIN ENERGY LIMITED,Mount,F,6770,1020,82.0,1102,N/A
ORIGIN ENERGY LIMITED,Mt Stuart - Operation,F,46556,14043,3557.0,17600,N/A
ORIGIN ENERGY LIMITED,Quarantine PS - Operation,F,829838,154899,1854.0,156753,N/A
ORIGIN ENERGY LIMITED,Roma PS,F,239874,44554,928.0,45482,N/A
ORIGIN ENERGY LIMITED,Shoalhaven Scheme,F,75291,2,17260.0,17262,N/A
ORIGIN ENERGY LIMITED,Stockland Headquarters,F,4612,758,56.0,814,N/A
ORIGIN ENERGY LIMITED,University of NSW,F,8462,1290,102.0,1392,N/A
ORIGIN ENERGY LIMITED,Uranquinty PS - Operation,F,828769,138026,5581.0,143607,N/A
ORIGIN ENERGY LIMITED,Corporate Total,C,54829339,10848216,64500.0,10912716,N/A
OZGEN HOLDINGS AUSTRALIA PTY LTD,Callide C Power Station (facility),F,11169718,2886053,22084.0,2908137,Please note that in some circumstances Joint Venture partners are required to report a full amount for each facility they have in a Joint Venture. This results in that facility appearing twice.
OZGEN HOLDINGS AUSTRALIA PTY LTD,Millmerran Power Station (facility),F,24008097,5683418,2974.0,5686392,N/A
OZGEN HOLDINGS AUSTRALIA PTY LTD,Corporate Total,C,35177815,8569471,25058.0,8594529,N/A
PELICAN POINT POWER LIMITED,Pelican Point Power Station,F,6724650,751286,7897.0,759183,N/A
PELICAN POINT POWER LIMITED,Corporate Total,C,6724650,751286,7897.0,759183,N/A
POWER AND WATER CORPORATION,Channel Island Power Station,F,3845131,572028,0.0,572028,N/A
POWER AND WATER CORPORATION,Katherine Power Station,F,67457,12684,0.0,12684,N/A
POWER AND WATER CORPORATION,Katherine Region,FA,66498,13,0.0,13,N/A
POWER AND WATER CORPORATION,Kings Canyon Resort Power Station,F,7021,1201,0.0,1201,N/A
POWER AND WATER CORPORATION,Northern (Darwin) Region,FA,234161,46277,0.0,46277,N/A
POWER AND WATER CORPORATION,Owen Springs Power Station,F,192118,27026,0.0,27026,N/A
POWER AND WATER CORPORATION,Remote Centres Generation,FA,51374,10208,0.0,10208,N/A
POWER AND WATER CORPORATION,Ron Goodin Power Station,F,443099,89476,0.0,89476,N/A
POWER AND WATER CORPORATION,Southern Region,FA,109728,21942,0.0,21942,N/A
POWER AND WATER CORPORATION,Tennant Creek Power Station,F,115398,22049,0.0,22049,N/A
POWER AND WATER CORPORATION,Weddell Power Station,F,1244459,190907,0.0,190907,N/A
POWER AND WATER CORPORATION,Yulara Power Station,F,81990,14474,0.0,14474,N/A
POWER AND WATER CORPORATION,Corporate Total,C,6458434,1008285,0.0,1008285,N/A
PRATT CONSOLIDATED HOLDINGS PTY. LTD.,Visy Energy - Coolaroo Co-gen,F,43583,16369,10309.0,26678,N/A
PRATT CONSOLIDATED HOLDINGS PTY. LTD.,Corporate Total,C,43583,16369,10309.0,26678,N/A
RATCH - AUSTRALIA CORPORATION LIMITED,Kemerton Power Station,F,285023,55214,2513.0,57727,N/A
RATCH - AUSTRALIA CORPORATION LIMITED,Starfish Hill Wind Farm,F,360374,58,51.0,109,N/A
RATCH - AUSTRALIA CORPORATION LIMITED,Toora Wind Farm,F,228939,17,211.0,228,N/A
RATCH - AUSTRALIA CORPORATION LIMITED,Townsville Power Station,F,977295,120761,3205.0,123966,N/A
RATCH - AUSTRALIA CORPORATION LIMITED,Windy Hill Wind Farm,F,116915,16,12.0,28,N/A
RATCH - AUSTRALIA CORPORATION LIMITED,Corporate Total,C,1968546,176066,5992.0,182058,N/A
REDBANK ENERGY LIMITED,Redbank Power Station,FThe Clean Energy Regulator did not receive a section 19 report for 2013-14 from this corporation.,,,,,
REDBANK ENERGY LIMITED,Corporate Total,CN/A,,,,,
REGIONAL POWER CORPORATION,Carnarvon Power Station,F,172469,29362,0.0,29362,N/A
REGIONAL POWER CORPORATION,Horizon Power Aggregated Minor Power Stations,FA,40528,7143,0.0,7143,N/A
REGIONAL POWER CORPORATION,Corporate Total,C,212997,36505,0.0,36505,N/A
SANTOS LTD,Wilga Park Power Station,F,5428,575,294.0,869,N/A
SANTOS LTD,Corporate Total,C,5428,575,294.0,869,N/A
SENVION HOLDINGS PTY LTD,Wonthaggi Wind Farm,F,109759,21,0.0,21,N/A
SENVION HOLDINGS PTY LTD,Corporate Total,C,109759,21,0.0,21,N/A
SHENHUA CLEAN ENERGY HOLDINGS PTY LTD,Musselroe Wind Farm Pty Ltd,F,1288981,103,1945.0,2048,N/A
SHENHUA CLEAN ENERGY HOLDINGS PTY LTD,Woolnorth Bluff point Wind Farm Pty Ltd,F,994415,73,4876.0,4949,N/A
SHENHUA CLEAN ENERGY HOLDINGS PTY LTD,Woolnorth Studland Bay Wind Farm Pty Ltd,F,1039760,74,5082.0,5156,N/A
SHENHUA CLEAN ENERGY HOLDINGS PTY LTD,Corporate Total,C,3323156,250,11903.0,12153,N/A
SNOWTOWN SOUTH WIND FARM PTY. LTD.,SNOWTOWN SOUTH WIND FARM,F,743674,56,116.0,172,N/A
SNOWTOWN SOUTH WIND FARM PTY. LTD.,Corporate Total,C,743674,56,116.0,172,N/A
SNOWTOWN WIND FARM PTY LTD,Snowtown Wind Farm,F,1432188,74,200.0,274,N/A
SNOWTOWN WIND FARM PTY LTD,Corporate Total,C,1432188,74,200.0,274,N/A
SNOWTOWN WIND FARM STAGE 2 PTY. LTD.,SNOWTOWN WIND FARM STAGE 2,F,373153,66,73.0,139,N/A
SNOWTOWN WIND FARM STAGE 2 PTY. LTD.,Corporate Total,C,373153,66,73.0,139,N/A
SNOWY HYDRO LIMITED,Laverton North Power Station,F,56908,11045,3919.0,14964,N/A
SNOWY HYDRO LIMITED,Snowy Hydro Ltd,F,13799902,1464,87938.0,89402,N/A
SNOWY HYDRO LIMITED,Valley Power,F,32028,7000,2944.0,9944,N/A
SNOWY HYDRO LIMITED,Corporate Total,C,13888838,19509,94801.0,114310,N/A
STANWELL CORPORATION LIMITED,Barron Gorge Power Station,F,729886,105,645.0,750,N/A
STANWELL CORPORATION LIMITED,Kareeya Power Station,F,2152490,20,735.0,755,N/A
STANWELL CORPORATION LIMITED,Mackay Gas Turbine,F,43,155,9.0,164,N/A
STANWELL CORPORATION LIMITED,Mica Creek Power Station,F,5654773,823879,0.0,823879,N/A
STANWELL CORPORATION LIMITED,Stanwell Power Station,F,30308168,7282279,8122.0,7290401,N/A
STANWELL CORPORATION LIMITED,Swanbank E Power Station,F,8332261,849578,640.0,850218,N/A
STANWELL CORPORATION LIMITED,Tarong Power Stations,F,24007303,5645200,39405.0,5684605,N/A
STANWELL CORPORATION LIMITED,Corporate Total,C,71184924,14601216,49556.0,14650772,N/A
SYNERGEN POWER PTY LIMITED,Dry Creek Power Station,F,10524,3413,543.0,3956,N/A
SYNERGEN POWER PTY LIMITED,Mintaro Power Station,F,28685,6141,147.0,6288,N/A
SYNERGEN POWER PTY LIMITED,Port Lincoln Power Station,F,2870,1069,401.0,1470,N/A
SYNERGEN POWER PTY LIMITED,Snuggery Power Station,F,315,155,603.0,758,N/A
SYNERGEN POWER PTY LIMITED,Corporate Total,C,42394,10778,1694.0,12472,N/A
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Kalgoorlie Power Station,F,771989,127902,0.0,127902,N/A
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Kambalda Power Station,F,784787,129108,0.0,129108,N/A
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Leinster Power Station,F,1089030,164954,0.0,164954,N/A
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Mt Keith Power Station,F,1280657,212094,0.0,212094,N/A
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Solomon Power Station,F,515615,160329,0.0,160329,N/A
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Corporate Total,C,4442078,794387,0.0,794387,N/A
WATER CORPORATION,Cocos Keeling Islands Generation,FA,18907,3642,0.0,3642,N/A
WATER CORPORATION,Corporate Total,C,18907,3642,0.0,3642,N/A
WORLEYPARSONS LIMITED,Exmouth Power Station,F,89497,17561,0.0,17561,N/A
WORLEYPARSONS LIMITED,Corporate Total,C,89497,17561,0.0,17561,N/A
"Grand Total ""807",416,"340""",172113876,1524245,173638121.0,,Please note that the grand total includes a facility that appears twice in the report.
